,Statement,Link,Date
1260,Filipina children’s rights advocate among 2022 Ramon Magsaysay awardees,https://www.rappler.com/nation/children-rights-advocate-bernadette-madrid-among-ramon-magsaysay-awardees-2022/,2022-08-31
1261,Hontiveros seeks Senate probe into sexual harassment cases in schools,https://www.rappler.com/nation/hontiveros-wants-sexual-harassment-schools-investigated/,2022-08-31
1262,Marcos gov’t proposing P500 million for Comelec’s new building in 2023 budget,https://www.rappler.com/nation/marcos-government-2023-proposed-budget-comelec-new-building/,2022-08-31
1263,Rappler Recap: Rights groups remember desaparecidos on Int’l Day of the Disappeared,https://www.rappler.com/nation/recap-human-rights-groups-remember-desaperacidos-international-day-disappeared/,2022-08-30
1264,Hontiveros: ‘It seems many powerful forces at play’ in sugar import mess,https://www.rappler.com/nation/senate-hearing-sugar-import-mess-august-30-2022/,2022-08-30
1265,Adora de Vera’s son: Our fight is for all political prisoners in the country,https://www.rappler.com/nation/adora-de-vera-son-ron-says-fight-is-for-all-political-prisoners-philippines/,2022-08-30
1266,SC issues TRO to stop no contact apprehension policy,https://www.rappler.com/nation/supreme-court-issues-tro-stop-contact-apprehension-policy/,2022-08-30
1267,LIVE: 2022 Ramon Magsaysay awardees,https://www.rappler.com/nation/video-2022-ramon-magsaysay-awardees-announcement/,2022-08-30
1268,PNP serves warrant to ask for data of YouTuber encouraging child sex abuse,https://www.rappler.com/nation/video-pnp-gives-updates-youtuber-encouraging-sexual-abuse/,2022-08-30
1269,CHED scraps vaccination requirement for students joining face-to-face classes,https://www.rappler.com/nation/ched-scraps-covid-19-vaccination-requirement-students-face-to-face-classes-2022/,2022-08-29
1270,"On National Heroes Day, Marcos calls for post-pandemic ‘unity’",https://www.rappler.com/nation/marcos-jr-tribute-speech-national-heroes-day-2022/,2022-08-29
1271,DepEd probes 6 Cavite teachers for alleged sex abuse,https://www.rappler.com/nation/deped-probes-sexual-abuse-reports-teachers-school-cavite/,2022-08-29
1272,COA orders PS-DBM to return P3 billion in bank account to national treasury,https://www.rappler.com/nation/coa-orders-ps-dbm-return-billions-pesos-bank-account-national-treasury/,2022-08-28
1273,LIST: Universities resuming college entrance exams,https://www.rappler.com/nation/list-universities-resuming-college-entrance-exams/,2022-08-27
1274,P588-B unprogrammed fund in 2023 budget must be itemized – Recto,https://www.rappler.com/nation/recto-says-billions-unprogrammed-fund-2023-budget-must-be-itemized/,2022-08-27
1275,[Rappler Recap] Economic team briefs House on proposed 2023 budget,https://www.rappler.com/nation/recap-economic-team-briefs-house-representatives-proposed-budget-2023/,2022-08-26
1276,"Under Sara Duterte, OVP seeks three-fold increase in 2023 budget",https://www.rappler.com/nation/national-news/office-vice-president-proposed-budget-2023/,2022-08-26
1277,Arrested rebel a symbol of Marcos atrocities against women dissidents,https://www.rappler.com/nation/arrested-rebel-adora-faye-de-vera-symbol-marcos-atrocities-women-dissents/,2022-08-26
1278,COA: PS-DBM failed to withhold P3.27-B income tax from pandemic suppliers,https://www.rappler.com/nation/commission-on-audit-report-ps-dbm-covid-19-supplies/,2022-08-26
1279,Alleged top Western Visayas communist rebel arrested,https://www.rappler.com/nation/ched-chairperson-prospero-de-vera-sister-adora-de-vera-arrested/,2022-08-25
1280,COA: DSWD has no proof P5.32M cash aid went to former rebels despite a year to comply,https://www.rappler.com/nation/despite-year-comply-dswd-fails-prove-cash-aid-went-to-former-rebels/,2022-08-25
1281,DepEd laptop mess: Who allowed PS-DBM to raise the price?,https://www.rappler.com/nation/deped-laptop-mess-who-allowed-ps-dbm-raise-process/,2022-08-25
1282,[Rappler Recap] DepEd’s overpriced laptops: Who approved what,https://www.rappler.com/nation/recap-deped-overpriced-laptops-who-approved-what-senate-hearing-august-25-2022/,2022-08-25
1283,Bulatlat asks QC court: Hold NTC in contempt for delaying unblocking of site,https://www.rappler.com/nation/bulatlat-asks-court-hold-ntc-contempt-not-immediately-unblocking-website/,2022-08-25
1284,Remulla: ISPs may face sanctions if uncooperative vs online sexual abuse,https://www.rappler.com/nation/remulla-says-internet-service-providers-may-face-sanctions-uncooperative-online-sexual-abuse/,2022-08-25
1285,More bike owners than car owners in PH – SWS,https://www.rappler.com/nation/bike-car-owners-sws-survey-april-2022/,2022-08-24
1286,"Coast guard has P2.56 billion in unfinished projects, delayed supplies – COA",https://www.rappler.com/nation/philippine-coast-guard-unfinished-projects-delayed-supplies-coa-report-2021/,2022-08-24
1287,CIDG busts gang that tried to extort from Senate President Zubiri,https://www.rappler.com/nation/cidg-busts-gang-tried-extort-senate-president-zubiri/,2022-08-24
